,SOURCE_ID,mag_abs,v_tan,l,b,g_rp
1348,3292461971370733824,9.791479337921537,112.05444386728738,188.73332150733714,-24.183693062254303,1.0142231
1359,3294337158388032768,9.77314831321143,113.62741770921042,185.82703865441712,-22.665899579574653,1.0985203
1371,3295778167159976448,10.036985670321531,150.239287824651,186.52133228255136,-20.25121558872068,1.0622635
1405,3294359320419309952,9.619966961927453,103.00126953940716,186.08193490215515,-21.918430876162628,1.237771
1487,3292522238351984768,9.392094342670138,102.68906581929338,188.336533552088,-24.414010936863637,1.1633034
1516,3294409343902229888,10.362623730104819,109.28215417257525,188.99190825364624,-20.9719954045931,1.2215023
1639,3292593740967666176,9.686625349657461,255.17970819740447,188.6525663740896,-23.538135924581802,0.95300484
1655,3292601643707236224,10.293708169519256,184.05299470064443,188.65835454491366,-23.18694221737497,1.1466389
1715,3292639443715334528,11.665907738797799,105.13418475358267,188.2046464150303,-23.78566986625998,1.2401676
1724,3292649992155038592,8.979842964034265,103.02537261284623,187.89391796653783,-24.02243500738352,1.1028194
1760,3292665758978744576,10.736654273106417,101.57427615641456,188.16513585972933,-23.58768618781652,1.0450325
1806,3292686619636057600,11.904601443663207,154.5776948476167,187.97666161341027,-23.501958184627085,1.2270718
1878,3291359539164792448,9.35637718266246,100.0073988894496,189.91916257582824,-20.822576448480167,1.0903778
1919,3294608905263260672,8.981198003879516,150.47770996751262,188.62095554874804,-20.056824636500185,1.0431538
1927,3291379540829713792,10.563321696722504,116.08853089081578,189.5643853899746,-21.033667329262663,1.3030186
1941,3294616399981789696,9.967069859817386,109.46195595566327,188.5266149257923,-20.291738835989353,1.218998
2016,3291416546267875712,10.753195643969136,103.21147907988077,189.42836497218426,-20.49227790190765,1.2055244
2115,3291460835969746304,9.463763296107363,140.17862932763651,189.8803378007012,-19.61895248725876,1.0795422
2158,3291481206999357696,9.332661835905721,114.80467969800266,189.97629002065486,-19.4095391703026,1.1981258
2181,3291483960073639168,8.786804277813768,135.81265699584122,189.9087088177828,-19.3595431973419,1.0673809
2212,3294746069338048256,10.863363992014886,154.17268372778253,187.98547338196528,-21.03113065044526,1.1063557
2227,3289129287203490560,8.522201519504858,131.5181155305476,189.99048490820948,-24.58588538789937,1.0762959
2248,3292855149857194240,9.39961511783617,105.34156697141725,189.29439697019285,-21.922543640773068,1.1733932
2257,3292859620919314304,10.966912180154957,103.7994268430501,189.1895436973926,-21.919285038680126,1.2083969
2264,3292863018236576768,10.258197202237309,127.88091139800581,189.2240331008387,-21.773934370144037,1.1685047
2266,3294757171830790144,9.315321591246594,108.60661824482557,187.65768080304292,-21.45378318602485,1.139061
2274,3294759194759087872,10.600679618421374,214.87514219485075,187.67235889276654,-21.34058078213145,1.0238037
2282,3292870439940025472,10.665132080076503,102.4874038611882,189.52006376750987,-21.465641315777845,1.2247391
2294,3291512925332992128,8.853905120749339,106.24865415930998,189.59530441156878,-19.78089237172596,1.0449181
2348,3294773527066305536,10.917790188844862,279.6673876962474,187.8940124755017,-20.842307693447033,1.1391315
2405,3291542882728951680,10.572415878466298,152.86018103258687,189.6877055672692,-19.282244054228908,1.2155066
